"country","total_no_of_medals","rank"
"USA","5637","1"
"Russia","3947","2"
"Germany","3756","3"
"UK","2068","4"
"France","1777","5"
"Italy","1637","6"
"Sweden","1536","7"
"Canada","1352","8"
"Australia","1349","9"
"Hungary","1135","10"
"Netherlands","1040","11"
"Norway","1033","12"
"China","993","13"
"Japan","913","14"
"Finland","900","15"
"Switzerland","691","16"
"Romania","653","17"
"Czech Republic","644","18"
"South Korea","638","19"
"Denmark","597","20"
"Poland","565","21"
"Serbia","539","22"
"Spain","489","23"
"Brazil","475","24"
"Belgium","468","25"
"Austria","450","26"
"Cuba","409","27"
"Bulgaria","342","28"
"Argentina","274","29"
"Greece","255","30"
"New Zealand","228","31"
"Ukraine","199","32"
"India","197","33"
"Jamaica","157","34"
"Croatia","149","35"
"Belarus","139","36"
"South Africa","131","37"
"Pakistan","121","38"
"Mexico","110","39"
"Kenya","106","40"
"Nigeria","99","41"
"Turkey","95","42"
"Kazakhstan","77","43"
"Iran","68","44"
"North Korea","67","45"
"Uruguay","63","46"
"Lithuania","61","47"
"Ethiopia","53","48"
"Estonia","50","49"
"Taiwan","49","50"
"Slovenia","48","51"
"Slovakia","47","52"
"Azerbaijan","44","53"
"Portugal","41","54"
"Indonesia","41","54"
"Bahamas","40","55"
"Trinidad","37","56"
"Ireland","35","57"
"Latvia","35","57"
"Uzbekistan","34","58"
"Georgia","32","59"
"Chile","32","59"
"Thailand","30","60"
"Colombia","28","61"
"Egypt","27","62"
"Mongolia","26","63"
"Ghana","23","64"
"Morocco","23","64"
"Zimbabwe","22","65"
"Cameroon","22","65"
"Iceland","17","66"
"Paraguay","17","66"
"Algeria","17","66"
"Armenia","16","67"
"Malaysia","16","67"
"Venezuela","15","68"
"Peru","15","68"
"Montenegro","14","69"
"Tunisia","13","70"
"Fiji","13","70"
"Philippines","10","71"
"Israel","9","72"
"Puerto Rico","9","72"
"Singapore","9","72"
"Liechtenstein","9","72"
"Moldova","8","73"
"Luxembourg","8","73"
"Dominican Republic","7","74"
"Haiti","7","74"
"Uganda","7","74"
"Saudi Arabia","6","75"
"Syria","5","76"
"Qatar","5","76"
"Individual Olympic Athletes","5","76"
"Costa Rica","4","77"
"Vietnam","4","77"
"Tajikistan","4","77"
"Namibia","4","77"
"Lebanon","4","77"
"Panama","3","78"
"Ivory Coast","3","78"
"Bahrain","3","78"
"Kyrgyzstan","3","78"
"Afghanistan","2","79"
"Burundi","2","79"
"Ecuador","2","79"
"Grenada","2","79"
"Kuwait","2","79"
"Mozambique","2","79"
"Niger","2","79"
"Sri Lanka","2","79"
"Suriname","2","79"
"Tanzania","2","79"
"United Arab Emirates","2","79"
"Zambia","2","79"
"Guyana","1","80"
"Togo","1","80"
"Tonga","1","80"
"Nepal","1","80"
"Bermuda","1","80"
"Gabon","1","80"
"Eritrea","1","80"
"Jordan","1","80"
"Barbados","1","80"
"Iraq","1","80"
"Cyprus","1","80"
"Sudan","1","80"
"Virgin Islands, US","1","80"
"Senegal","1","80"
"Curacao","1","80"
"Kosovo","1","80"
"Mauritius","1","80"
"Macedonia","1","80"
"Botswana","1","80"
"Djibouti","1","80"
"Guatemala","1","80"
"Monaco","1","80"
"Equatorial Guinea","0","81"
"El Salvador","0","81"
"Dominica","0","81"
"Republic of Congo","0","81"
"Democratic Republic of the Congo","0","81"
"Rwanda","0","81"
"Saint Kitts","0","81"
"Saint Lucia","0","81"
"Saint Vincent","0","81"
"Samoa","0","81"
"San Marino","0","81"
"Sao Tome and Principe","0","81"
"Seychelles","0","81"
"Sierra Leone","0","81"
"Cook Islands","0","81"
"Comoros","0","81"
"Chad","0","81"
"Solomon Islands","0","81"
"Somalia","0","81"
"Central African Republic","0","81"
"Cayman Islands","0","81"
"South Sudan","0","81"
"Cape Verde","0","81"
"Virgin Islands, British","0","81"
"Swaziland","0","81"
"Cambodia","0","81"
"Burkina Faso","0","81"
"Brunei","0","81"
"Bosnia and Herzegovina","0","81"
"Yemen","0","81"
"Boliva","0","81"
"Timor-Leste","0","81"
"Bhutan","0","81"
"Benin","0","81"
"Turkmenistan","0","81"
"Belize","0","81"
"Bangladesh","0","81"
"Albania","0","81"
"Aruba","0","81"
"Antigua","0","81"
"Angola","0","81"
"Vanuatu","0","81"
"Madagascar","0","81"
"Malawi","0","81"
"Maldives","0","81"
"Mali","0","81"
"Malta","0","81"
"Mauritania","0","81"
"Marshall Islands","0","81"
"Libya","0","81"
"Micronesia","0","81"
"Liberia","0","81"
"Lesotho","0","81"
"Laos","0","81"
"Andorra","0","81"
"Myanmar","0","81"
"NA","0","81"
"Kiribati","0","81"
"Nauru","0","81"
"Nicaragua","0","81"
"American Samoa","0","81"
"Honduras","0","81"
"Guinea-Bissau","0","81"
"Oman","0","81"
"Guinea","0","81"
"Palau","0","81"
"Palestine","0","81"
"Papua New Guinea","0","81"
"Guam","0","81"
"Gambia","0","81"
