"country","medal","total_no_of_medals"
"Afghanistan","Bronze","2"
"Afghanistan","Total Medals","2"
"Algeria","Bronze","8"
"Algeria","Gold","5"
"Algeria","Silver","4"
"Algeria","Total Medals","17"
"Argentina","Bronze","91"
"Argentina","Gold","91"
"Argentina","Silver","92"
"Argentina","Total Medals","274"
"Armenia","Bronze","9"
"Armenia","Gold","2"
"Armenia","Silver","5"
"Armenia","Total Medals","16"
"Australia","Bronze","522"
"Australia","Gold","368"
"Australia","Silver","459"
"Australia","Total Medals","1349"
"Austria","Bronze","156"
"Austria","Gold","108"
"Austria","Silver","186"
"Austria","Total Medals","450"
"Azerbaijan","Bronze","25"
"Azerbaijan","Gold","7"
"Azerbaijan","Silver","12"
"Azerbaijan","Total Medals","44"
"Bahamas","Bronze","15"
"Bahamas","Gold","14"
"Bahamas","Silver","11"
"Bahamas","Total Medals","40"
"Bahrain","Bronze","1"
"Bahrain","Gold","1"
"Bahrain","Silver","1"
"Bahrain","Total Medals","3"
"Barbados","Bronze","1"
"Barbados","Total Medals","1"
"Belarus","Bronze","71"
"Belarus","Gold","24"
"Belarus","Silver","44"
"Belarus","Total Medals","139"
"Belgium","Bronze","173"
"Belgium","Gold","98"
"Belgium","Silver","197"
"Belgium","Total Medals","468"
"Bermuda","Bronze","1"
"Bermuda","Total Medals","1"
"Botswana","Silver","1"
"Botswana","Total Medals","1"
"Brazil","Bronze","191"
"Brazil","Gold","109"
"Brazil","Silver","175"
"Brazil","Total Medals","475"
"Bulgaria","Bronze","144"
"Bulgaria","Gold","54"
"Bulgaria","Silver","144"
"Bulgaria","Total Medals","342"
"Burundi","Gold","1"
"Burundi","Silver","1"
"Burundi","Total Medals","2"
"Cameroon","Bronze","1"
"Cameroon","Gold","20"
"Cameroon","Silver","1"
"Cameroon","Total Medals","22"
"Canada","Bronze","451"
"Canada","Gold","463"
"Canada","Silver","438"
"Canada","Total Medals","1352"
"Chile","Bronze","20"
"Chile","Gold","3"
"Chile","Silver","9"
"Chile","Total Medals","32"
"China","Bronze","293"
"China","Gold","351"
"China","Silver","349"
"China","Total Medals","993"
"Colombia","Bronze","14"
"Colombia","Gold","5"
"Colombia","Silver","9"
"Colombia","Total Medals","28"
"Costa Rica","Bronze","2"
"Costa Rica","Gold","1"
"Costa Rica","Silver","1"
"Costa Rica","Total Medals","4"
"Croatia","Bronze","37"
"Croatia","Gold","58"
"Croatia","Silver","54"
"Croatia","Total Medals","149"
"Cuba","Bronze","116"
"Cuba","Gold","164"
"Cuba","Silver","129"
"Cuba","Total Medals","409"
"Curacao","Silver","1"
"Curacao","Total Medals","1"
"Cyprus","Silver","1"
"Cyprus","Total Medals","1"
"Czech Republic","Bronze","259"
"Czech Republic","Gold","123"
"Czech Republic","Silver","262"
"Czech Republic","Total Medals","644"
"Denmark","Bronze","177"
"Denmark","Gold","179"
"Denmark","Silver","241"
"Denmark","Total Medals","597"
"Djibouti","Bronze","1"
"Djibouti","Total Medals","1"
"Dominican Republic","Bronze","2"
"Dominican Republic","Gold","3"
"Dominican Republic","Silver","2"
"Dominican Republic","Total Medals","7"
"Ecuador","Gold","1"
"Ecuador","Silver","1"
"Ecuador","Total Medals","2"
"Egypt","Bronze","12"
"Egypt","Gold","7"
"Egypt","Silver","8"
"Egypt","Total Medals","27"
"Eritrea","Bronze","1"
"Eritrea","Total Medals","1"
"Estonia","Bronze","25"
"Estonia","Gold","13"
"Estonia","Silver","12"
"Estonia","Total Medals","50"
"Ethiopia","Bronze","22"
"Ethiopia","Gold","22"
"Ethiopia","Silver","9"
"Ethiopia","Total Medals","53"
"Fiji","Gold","13"
"Fiji","Total Medals","13"
"Finland","Bronze","432"
"Finland","Gold","198"
"Finland","Silver","270"
"Finland","Total Medals","900"
"France","Bronze","666"
"France","Gold","501"
"France","Silver","610"
"France","Total Medals","1777"
"Gabon","Silver","1"
"Gabon","Total Medals","1"
"Georgia","Bronze","18"
"Georgia","Gold","8"
"Georgia","Silver","6"
"Georgia","Total Medals","32"
"Germany","Bronze","1260"
"Germany","Gold","1301"
"Germany","Silver","1195"
"Germany","Total Medals","3756"
"Ghana","Bronze","22"
"Ghana","Silver","1"
"Ghana","Total Medals","23"
"Greece","Bronze","84"
"Greece","Gold","62"
"Greece","Silver","109"
"Greece","Total Medals","255"
"Grenada","Gold","1"
"Grenada","Silver","1"
"Grenada","Total Medals","2"
"Guatemala","Silver","1"
"Guatemala","Total Medals","1"
"Guyana","Bronze","1"
"Guyana","Total Medals","1"
"Haiti","Bronze","5"
"Haiti","Gold","1"
"Haiti","Silver","1"
"Haiti","Total Medals","7"
"Hungary","Bronze","371"
"Hungary","Gold","432"
"Hungary","Silver","332"
"Hungary","Total Medals","1135"
"Iceland","Bronze","2"
"Iceland","Silver","15"
"Iceland","Total Medals","17"
"India","Bronze","40"
"India","Gold","138"
"India","Silver","19"
"India","Total Medals","197"
"Individual Olympic Athletes","Bronze","3"
"Individual Olympic Athletes","Gold","1"
"Individual Olympic Athletes","Silver","1"
"Individual Olympic Athletes","Total Medals","5"
"Indonesia","Bronze","13"
"Indonesia","Gold","11"
"Indonesia","Silver","17"
"Indonesia","Total Medals","41"
"Iran","Bronze","29"
"Iran","Gold","18"
"Iran","Silver","21"
"Iran","Total Medals","68"
"Iraq","Bronze","1"
"Iraq","Total Medals","1"
"Ireland","Bronze","13"
"Ireland","Gold","9"
"Ireland","Silver","13"
"Ireland","Total Medals","35"
"Israel","Bronze","7"
"Israel","Gold","1"
"Israel","Silver","1"
"Israel","Total Medals","9"
"Italy","Bronze","531"
"Italy","Gold","575"
"Italy","Silver","531"
"Italy","Total Medals","1637"
"Ivory Coast","Bronze","1"
"Ivory Coast","Gold","1"
"Ivory Coast","Silver","1"
"Ivory Coast","Total Medals","3"
"Jamaica","Bronze","44"
"Jamaica","Gold","38"
"Jamaica","Silver","75"
"Jamaica","Total Medals","157"
"Japan","Bronze","357"
"Japan","Gold","247"
"Japan","Silver","309"
"Japan","Total Medals","913"
"Jordan","Gold","1"
